Tribe,Label,Institution,State/Area,County,Site,ID,MNI,AFO,Collection History,Age/Culture,AFO,Note
Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin,LacDuFlambeau,"Beloit College, Logan Museum of Anthropology",Wisconsin,Langlade,Pine Point site(47Lg21),LMA 21493W,1,0,"In 1968 or earlier, human remains representing a single individual were recovered during installation of a septic tank with a backhoe at the Pine Point Resort, Pickerel Lake, Ainsworth, Langlade County, WI. No known individual was identified.  No associated funerary objects were noted, althrough the find was recorded as ""Historic Indian"", suggesting funerary objects may have been present. The Pine Point site was surveyed and recored as 47Lg21 (LMA 21493W), in conjunction with the 1968 Wild Rivers Project Site Survey, directed by Dr Rover J. Salzer, Beloit College Professor of Anthropology. The owners of the Pine Point Resort donated the recovered remains to the Logan Museum of Anthropology in 1968.",Ojibwa and Menominee,none,"culturally affiliated with the Bad River Band of Lake Superior Indians of the Bad River Reservation, Wisconsin; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; St. Croix Chippewa Community of Wisconsin; and Sokaogon Chippewa Community, Wisconsin."
Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin,LacDuFlambeau,Milwaukee Public Museum,Wisconsin,Vilas,"Fox Island, Rest Lake (47-VI-7)",N/A,2,20,"In 1902, human remains representing two individuals and associated funerary objects were remomved during excavation of a mound burial on Fox Island, Rest Lake (47-VIA-7), Manitowosh Waters Township, Vilas County, WI, by James G. Albright. The human remains and some (an unknown number) of the associated funerary objects were sole to the Wisconsin Natural History Society in 1902. The Wisconsin Natural History Society donated the remains and associated funerary objects to the Milwaukee Public Museum the same year. Mr. Albright donated the remaining associated funerary objects to the Milwaukee Public Museum in 1942.",,"A German silver brooch with engraved geometric designs, a broken porcelain saucer, fragments of a metal bucket that originally contained a granulated substance (maple sugar?), half of a tin cup, birch bark wrappings, metal fragments, glass beads, shell, wood fragments, wool cloth fragments, a horn knife handle, a pocket mirror, two German silver bracelets with a piece of silk ribbon, fragments of a metal necklace with imitation gems, spectable glass with copper frame, an iron axe head, a knife with wood handle, a hatchet head, and a limestone Micmac-style pipe.",
Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin,LacDuFlambeau,Rhinelander High School,Wisconsin,Oneida,Lake Nokomis area,N/A,1,0,"In approximately 1969, human remains representing a minimum of one individual were removed from the Lake Nokomis area by an unknown individual","2,500-3,000 yrs old",,"published in FR 3/5/2009 culturally affiliated with the Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bois Forte Band (Nett Lake) fo the Minnesota Chippewa Indians, Minnesota; Fond du Lac Band of the Minnestoa Chippewa Indians, Minnesota; Grand Portage Band of the Minnesota Chippewa Indians, Minnesota; Keeweenaw Bay Indian Community. Michigan; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan; Leech Lake Band of the Minnesota Chippewa Indians, Minnesota; Mille Lacs Band of the Minnesota Chippewa Indians, Minnesota; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; St. Croix Chippewa Indians of Wisconsin; Sokaogon Chippewa Community, Wisconsin; and the White Earth Band of the Minnesota Chippewa Indians, Minnesota."
Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin,LacDuFlambeau,"Wisconsin Historical Society, Museum Division",Wisconsin,Door,Rock Island Site II,None,12,228,Excavated by Lawrence University and Ronald J. and Carol I. Mason in 1969-1973. The remains are under the control of the Wisconsin Historical Society but in the possession of Lawrence University and have been in their possession since excavation; it was only recently determined that they were under the Historical Society's control.,Middle Woodland period to Historic times,"14 lots of wood fragments from coffins, 20 lots of beads, 3 samples of red ochre, 2 spoons, 2 samples of vermilion, 1 polish pebble, 7 brass trade kettles, 3 unidentifiable objects, 1 cut and polish shell, 1 lot of silver brooches, 18 individual brooches, 6 silver brooches attached to a fabric fragment, 10 earrings, 1 bell or cup, 3 pendants, 1 wooden paint box, 1 perforated elk tooth, 1 lot of tinklets, 5 individual tinklers, 1 thimble, 10 lots of textile fragments, 1 silver cross, 4 armbands, 5 knives, 1 weasel skull and mandible, 1 lot of burned faunal remains, 3 firesteels, 2 awls, 1 catlinite pipe, 2 necklaces, 7 Jesuit rings, 2 samples of charred organic materials, 1 musket, 1 French perfume bottle, 6 gunflints, 1 musket ball, 4 pieces of shot, 2 hairpullers, 1 mirror in shards, 1 sheet of folded brass, 1 kettle handle, 1 pipe tomahawk heada, 1 lot of nails, 1 lot of bird bone tubes, 1 lot of antler fragments, 2 bells, 8 scraps of brass, 8 pieces of brass wire, 1 piece of cut iron, 1 piece of lead, 2 pieces of worked wood, 3 silver cylinders, 1 embellished antler tine, 1 carved stone, 2 pot sherds, 20 flint chips, 1 bone comb, 2 ear ornaments, 1 hafted iron ax, 1 cup, 1 French pistol, 2 brass bells, 8 bracelets, 1 limestone cobble, and 1 plaque",Amended inventory received July and Dec 2016. This site is under the control of WHS in the possession of Lawrence University. Culturally affiliated with the Tribes in the notice
Lac Courte Oreilles Band of Lake Superior Chippewa Indians of the Lac Courte Oreilles Reservation of Wisconsin,LacCourteOreilles,Univ. of Michigan Museum of Anthropology,Michigan,Arenac,20.2055/20AC19 Garry Site,Accession #: 3645,1,0,"Human skeletal remains encountered when a trench waas dug. Salvage excavation was conducted by C.Crumley et al. in 1971, and the human remains were transferred to the UMMA from the Michigan State Police (case #32-1003-71-5.1).",1760 AD-1820 AD,none,"Culturally affiliated to the Chippewa-Cree Indians of the Rocky Boy’s Reservation, Montana; Saginaw Chippewa Indian Tribe of Michigan; and Sault Ste. Marie Tribe of Chippewa Indians, Michigan, Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bay Mills Indian Community, Michigan; Bois Forte Band (Nett Lake) of the Minnesota Chippewa Tribe, Minnesota; Fond du Lac Band of the Minnesota Chippewa Tribe, Minnesota; Grand Portage Band of the Minnesota Chippewa Tribe, Minnesota; Grand Traverse Band of Ottawa and Chippewa Indians, Michigan; Keweenaw Bay Indian Community, Michigan; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians of Michigan; Leech Lake Band of the Minnesota Chippewa Tribe, Minnesota; Mille Lacs Band of the Minnesota Chippewa Tribe, Minnesota; Red Cliff
Band of Lake Superior Chippewa Indians of Wisconsin; Red Lake Band of Chippewa Indians, Minnesota; St. Croix Chippewa Indians of Wisconsin; Sokaogon Chippewa Community, Wisconsin; Turtle Mountain Band of Chippewa Indians of North Dakota; and White Earth Band of the Minnesota Chippewa Tribe, Minnesota"
Lac Courte Oreilles Band of Lake Superior Chippewa Indians of the Lac Courte Oreilles Reservation of Wisconsin,LacCourteOreilles,Univ. of Pennsylvania Museum of Archaeology and Anthropology,Michigan,Baraga,Pequaming,Museum Catalogue No. 97-563-10643,1,0,"At an unknown date, collected by Morgan Hebard prior to 1921. A part of the ""Morton Collecction"" that was permanently transferred to the University yof Pennsylvania Museum of Archaeology and Anthropology in 1997, in order to facilitate the implementation of NAGPRA. Cranial fragment of a male.",Historic/Chippewa,0,"originally inventoried as culturally unidentifiable subsequently culturally affiliated with the Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Keweenaw Bay Indian Community; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians of Michigan; Minnesota Chippewa Tribe, Minnesota (Leech Lake Band; Mille Lacs Band; White Earth Band); and Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin."
Lac Courte Oreilles Band of Lake Superior Chippewa Indians of the Lac Courte Oreilles Reservation of Wisconsin,LacCourteOreilles,American Museum of Natural History,Minnesota,Lake,Lake Superior vicinity,N/A,4,0,"At an unknown date, human remains representing a minimum of four individuals were collected by Frances Densmore from the vicinity of Lake Superior, MN. The American Museum of Natural History purchased the remains from Miss Densmore in 1920.",Ojibway/Postcontact,None,
Lac Courte Oreilles Band of Lake Superior Chippewa Indians of the Lac Courte Oreilles Reservation of Wisconsin,LacCourteOreilles,Rhinelander High School,Wisconsin,Oneida,Lake Nokomis area,N/A,1,0,"In approximately 1969, human remains representing a minimum of one individual were removed from the Lake Nokomis area by an unknown individual","2,500-3,000 yrs old",,"published in FR 3/5/2009 culturally affiliated with the Bad River Band of the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Bois Forte Band (Nett Lake) of the Minnesota Chippewa Indians, Minnesota; Fond du Lac Band of the Minnesota Chippewa Indians, Minnesota; Grand Portage Band of the Minnesota Chippewa Indians, Minnesota; Keeweenaw Bay Indian Community, Michigan; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Lac Vieux Desert Band of Lake Superior Chippewa Indians, Michigan; Leech Lake Band of the Minnesota Chippewa Indians, Minnesota; Mille Lacs Band of the Minnesota Chippewa Indians, Minnesota; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; St. Croix Chippewa Indians of Wisconsin; Sokaogon Chippewa Community, Wisconsin; and White Earth Band of the Minnesota Chippewa Indians, Minnesota."
Lac Courte Oreilles Band of Lake Superior Chippewa Indians of the Lac Courte Oreilles Reservation of Wisconsin,LacCourteOreilles,"Wisconsin Historical Society, Museum Division",Wisconsin,Door,Rock Island Site II,None,12,228,Excavated by Lawrence University and Ronald J. and Carol I. Mason in 1969-1973. The remains are under the control of the Wisconsin Historical Society but in the possession of Lawrence University and have been in their possession since excavation; it was only recently determined that they were under the Historical Society's control.,Middle Woodland period to Historic times,"14 lots of wood fragments from coffins, 20 lots of beads, 3 samples of red ochre, 2 spoons, 2 samples of vermilion, 1 polish pebble, 7 brass trade kettles, 3 unidentifiable objects, 1 cut and polish shell, 1 lot of silver brooches, 18 individual brooches, 6 silver brooches attached to a fabric fragment, 10 earrings, 1 bell or cup, 3 pendants, 1 wooden paint box, 1 perforated elk tooth, 1 lot of tinklets, 5 individual tinklers, 1 thimble, 10 lots of textile fragments, 1 silver cross, 4 armbands, 5 knives, 1 weasel skull and mandible, 1 lot of burned faunal remains, 3 firesteels, 2 awls, 1 catlinite pipe, 2 necklaces, 7 Jesuit rings, 2 samples of charred organic materials, 1 musket, 1 French perfume bottle, 6 gunflints, 1 musket ball, 4 pieces of shot, 2 hairpullers, 1 mirror in shards, 1 sheet of folded brass, 1 kettle handle, 1 pipe tomahawk heada, 1 lot of nails, 1 lot of bird bone tubes, 1 lot of antler fragments, 2 bells, 8 scraps of brass, 8 pieces of brass wire, 1 piece of cut iron, 1 piece of lead, 2 pieces of worked wood, 3 silver cylinders, 1 embellished antler tine, 1 carved stone, 2 pot sherds, 20 flint chips, 1 bone comb, 2 ear ornaments, 1 hafted iron ax, 1 cup, 1 French pistol, 2 brass bells, 8 bracelets, 1 limestone cobble, and 1 plaque",Amended inventory received July and Dec 2016. This site is under control of WHS in the possession of Lawrence University. Culturally affiliated with the Tribes in the notice.
Menominee Indian Tribe of Wisconsin,Menominee,"Harvard University, Peabody Museum of Archaeology and Ethnology",Illinois,Jo Daviess,Unknown,N/A,2,0,"In 1959, human remains representing two individuals were donated to the Peabody Museum of Archaeology and Ehtnology by the Warren Anatomical Museum, Harvard University Medical School.",,,
Menominee Indian Tribe of Wisconsin,Menominee,Oskkosh Public Museum,Michigan,Menominee,Riverside Site (20-ME-1),Catalog #: ANNEXB10,3,4,"In 1961, human remains representing three individuals were removed during excavations at the Riverside Site (20-ME-1), Menominee County, MI by Oshkosh Public Museum staff Robert Hruska.",,"copper beads, bifaces, and fiber fragments",published in FR 10/25/2000 culturally affiliated with Menominee Indian Tribe of WI
Menominee Indian Tribe of Wisconsin,Menominee,The Region of Three Oaks Museum,Michigan,Berrien,Three Oaks,N/A,1,0,"Prior to 1940, human remains representing, at minimum one individual were removed from an unknown locaction near the river between Menominee, MI, and Marinette, WI. The human remains were found during a fishing excursion by the uncle of Lyle Perkins, a resident of Three Oaks, MI, and remained in the possession of Perkins family until the remains were donated to The Region of Three Oaks approximately eight years ago. A handwritten note from the donor's family states that the remains were analyzed by the Smithsonian Institute, but no other documentation supports this assertion. The human remains consist of one complete human skull, possibly female. No known individual was identified.",Native American,none,culturally affiliated with the Menominee Indian Tribe of Wisconsin
Menominee Indian Tribe of Wisconsin,Menominee,Univ. of Michigan Museum of Anthropology,Michigan,Menominee,20.0214/20ME2 Backlund Mound Group,Accession #: 2268,20,3,"In the summer of 1956, human remains representing, at minimum, 20 individuals were removed from the Backlund Mound Group site (20ME2) in Menominee County, MI. Archeologists from the UMMAA excavated three low, conical mounds on the bank of the Menominee River.",aboriginal lands of the Menominee,"1 copper spear point, 1 perforated long bone, 1 bird beak",originally inventoried as culturally unidentifiable subsequently culturally affiliated to the Menominee Indian Tribe of Wisconsin. Transferred control to the Menomiee in 2017.
Menominee Indian Tribe of Wisconsin,Menominee,Univ. of Michigan Museum of Anthropology,Michigan,Menominee,20.1457/20ME1 Riverside Cemetary,"Accession #: 2268, 2332",1,1,"Acquired 08/1956, 07/1957",L. Archaic/EL Woodland,copper fragment,originally inventoried as CUI. Revised CA list rcvd Mar 2018 culturally affiliated with the Menominee Indian Tribe of Wisconsin.
Menominee Indian Tribe of Wisconsin,Menominee,Univ. of Pennsylvania Museum of Archaeology and Anthropology,Michigan,Unknown,Unknown,Cat #: L-606-0454,1,0,"At an unknown date between 1820 and 1837, human remains representing, at minimum, one individual (UPM #: 97-606-454) were removed from an unknown site in Michigan or Wisconsin by Dr. Richard S. Satterlee, Assistant Surgeon for the U.S. Army. In this capacity, Dr. Satterlee served at the Detroit Barracks, MI, Fort Howard, WI, Fort Mackinac, MI, Fort Winnebago, WI, and for a second term at Fort Howard, WI. It is during this time that the human remains were collected. In 1837, Satterlee was sent to Florida. The human remains were transferred to Dr. Samuel Morton in Philadelphia for inclusion in his collection of human crania from around the world prior to 1839. No known individuals were identified.",Historic (probably),0,"originally inventoried as CUI subsequently culturally affiliated with the Citizen Potawatomi Nation, Oklahoma; Forest County Potawatomi Community, Wisconsin; Hannahville Indian Community, Michigan; Match-e- be-nash-she-wish Band of Pottawatomi Indians of Michigan; Nottawaseppi Huron Band of the Potawatomi, Michigan (previously listed as the Huron Potawatomi, Inc.); Prairie Band of the Potawatomi Nation; Pokagon Band of Potawatomi Indians."
Menominee Indian Tribe of Wisconsin,Menominee,Univ. of Pennsylvania Museum of Archaeology and Anthropology,Michigan,Unknown,Great Lakes Region,L-606-1222,1,0,"A part of the ""Morton Collection"" that was permanently transferred to University of Pennsylvania Museum of Archaeology and Anthropology in 1997, in order to facilitate the implementation of NAGPRA. Collected by John P. Wetherill between 1800 and 1853, Adult male cranium and mandible. From catalog: ""Natonake, a Menominee chief"" Collection dates based on ANSP purchase of skull in 1853 and the dates of acquisition of most other Morton specimens.",Menominee,none,originally inventoried as culturally unidentifiable subsequently culturally affiliated to the Menominee Indian Tribe of Wisconsin. 
Menominee Indian Tribe of Wisconsin,Menominee,"Beloit College, Logan Museum of Anthropology",Wisconsin,Langlade,Pine Point site(47Lg21),LMA 21493W,1,0,"In 1968 or earlier, human remains representing a single individual were recovered during installation of a septic tank with a backhoe at the Pine Point Resort, Pickerel Lake, Ainsworth, Langlade County, WI. No known individual was identified.  No associated funerary objects were noted, althrough the find was recorded as ""Historic Indian"", suggesting funerary objects may have been present. The Pine Point site was surveyed and recored as 47Lg21 (LMA 21493W), in conjunction with the 1968 Wild Rivers Project Site Survey, directed by Dr Rover J. Salzer, Beloit College Professor of Anthropology. The owners of the Pine Point Resort donated the recovered remains to the Logan Museum of Anthropology in 1968.",Ojibwa and Menominee,none,"culturally affiliated with the Lake Superior Tribe of Chippewa Indians of the Bad River Reservation, Wisconsin; Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin; Lac du Flambeau Band of Lake Superior Chippewa Indians of the Lac du Flambeau Reservation of Wisconsin; Menominee Indian Tribe of Wisconsin; Red Cliff Band of Lake Superior Chippewa Indians of Wisconsin; St. Croix Chippewa Community, Wisconsin; and Sokaogon Chippewa Community, Wisconsin."
Menominee Indian Tribe of Wisconsin,Menominee,Neville Public Museum,Wisconsin,Brown,Allouez,N/A,5,7,"In 1940, human remains representing five individuals were recovered from Allouez, WI during road construction on the corner of S. Jackson andn Derby Lane. Between 1940 and 1941, these human remains were donated to the Neville Public Museum by Alex Gauthier and W.C. McClendon.",,"one iron sickle blade, one iron 10-d nail section, one iron spike, two pieces of burned sandstone, and two non-human large mammal bones",
Menominee Indian Tribe of Wisconsin,Menominee,Neville Public Museum,Wisconsin,Brown,Gibson Rock Shelter,N/A,22,16,"In 1941, human remains representing 22 individuals were recovered from the Gibson Rock Shelter, Brown County, WI by R.L. Hall, W. Wittry, and A. Linck. No accession records exist for these human remains, but they are believed to have been donated by R.L. Hall, W. Wittry, and A. Linck.",,"one antler point, one beveled bone knife, a shell bead, turtle plastron ""plaque"", non-human bones, one beaver incisor, one snail shell, one stick, and grit-tempered sherds, somem of which form two Aztalan Collared vessels.",
Menominee Indian Tribe of Wisconsin,Menominee,Neville Public Museum,Wisconsin,Door,Porte des Morts site,N/A,1,0,Uncovered during excavation by NPM group under the direction of Ronald J. Mason nin 1961. The bones probably represent what was left after most of the individual's bones had been removed for bundle reburial.,"300 BC-400 AD, Menominee or Ho-Chunk or both",none,culturally affiliated with the Ho-Chunk Nation of Wisconsin and Menominee Indian Tribe of Wisconsin
Menominee Indian Tribe of Wisconsin,Menominee,Neville Public Museum,Wisconsin,Door,Rowleys Bay,N/A,1,3,Discovered by a landowner at Rowley's Bay in 1961 and excavated by an NPM team under the direction of Ronald J.  Mason. ,Late Archaic,"1 copper point, 1 antler flaker, and 1 vial with bone fragments and red ochre",culturally affiliated with the Ho-Chunk Nation of Wisconsin and Menominee Indian Tribe of Wisconsin
Menominee Indian Tribe of Wisconsin,Menominee,Neville Public Museum,Wisconsin,Kewaunee,DeBaker Farm,1300/258,1,38,The partial skeleton of an adult. The skeleton apparently was given an accession number but not recorded in the accession book. Potsherd with the same accession number were collected at the DeBaker farm sometime between 1900 and 1930 by J.P. Schumacher and were donated to NPM in 1935.,"Middle Woodland, Late Woodland, late prehistoric period, historic",potsherds,culturally affiliated with the Ho-Chunk Nation of Wisconsin and Menominee Indian Tribe of Wisconsin
Menominee Indian Tribe of Wisconsin,Menominee,Neville Public Museum,Wisconsin,N/A,Green Bay,N/A,2,604,"In 1980, human remains representing two individuals were recovered from an embankment in Green Bay, WI and donated to the Neville Public Museum by the City of Green Bay Police Department.",,glass beads and small mammal bones,
Menominee Indian Tribe of Wisconsin,Menominee,Neville Public Museum,Wisconsin,Outagamie,Charles Grignon House Excavation,N/A,12,0,"In 1950, human remains representing 12 individuals were recovered from the Charles Grignon House, operated by the Outagamie County Historical Society, Outagamie County, WI during excavations. In 1953, these human remains were donated to the Neville Public Museum by William Wolf, then-curator of the Charles Grignon House",,,
Menominee Indian Tribe of Wisconsin,Menominee,Oshkosh Public Museum,Wisconsin,Marinette,Potato Rapids Burial Site (47-Mt-79),Catalog #: ANNEXS1,1,31,"In 1964, human remains representing 1 individual and 31 associated funerary objects were removed during excavations conducted by the Wisconsin Archaeological Society from the Potato Rapids Burial Site (47-Mt-79), Peshtigo, Marinette County, WI These remains and objects were donated to the Oshkosh Public Museum by the Wisconsin Archaeological Society at an unknown date after 1964.",,"iron axe, two bone beads wampum beads, seed beadwork, a metal bowl, five silver bracelets, four silver brooches, six silver buttons, one metal can, one comb, one silver crescent, two silver earrings, three gunflints, one clay pipe, fabric, and fiber remains",published in FR 10/25/2000 culturally affiliated with the Menominee Indian Tribe of WI
Menominee Indian Tribe of Wisconsin,Menominee,Oshkosh Public Museum,Wisconsin,Winnebago,Robert Grignon Trading Post Site (47-Wn-137),Catalog #: ANNEXS23B,1,0,"Circa 1936, human remains representing one individual were removed from the Robert Grignon Trading Post Site (47-Wn-137), Winnebago, WI by Oshkosh Public Museum staff Arthur Kannenberg. Documentation indicates that the tombstone that marked this burial identified the remains as those of ""Mary/wife of/Robert Grignon/died Dec 24, 1851/age/37 years"". The remains were, reportedly, re-buried inn the same grave except for two vertebrae and two teeth that are now in the possession of the Oshkosh Public Museum. A contemporaneous accound of the excavation of the grave identified Mary Grignon as the daughter of a full-blodded Menominee chief. Other historical sources indicate that her Menominee name is Wak-nau-go-lak.",,,published in FR 10/25/2000 culturally affiliated with the Menominee Indian Tribe of WI
Menominee Indian Tribe of Wisconsin,Menominee,Outagamie County Historical Society,Wisconsin,Outagamie,Grignon Home in Kaukauna,Accessgion #: 86.1-75,3,2880,"In 1951, human remains representing three individuals were recovered from a burial mound across the canal from the Grignon Home in Kaukauna, WI by William Wolfe, archeologist and curator of the Grignon Home and were accessioned into the collections of the Outagamie County Historical Society, Inc.",1770s-1809,"silver jewelry and crosses, Spanish coins, beads, brass bells and buttons, projectile points, brass tinklers, fabric pieces, gun parts, and iron ax fragments.",
Menominee Indian Tribe of Wisconsin,Menominee,"U.S. Dept. of Interior, BIA",Wisconsin,Menominee,South Branch Chapel site (47-ME-58),N/A,1,10,"Before 1920, human remains representing one individual were recovered from the South Branch Chapel site (47-ME-58) within the exterior boundaries of the Menominee reservation during non-legally authorized excavations conducted by Charles H. Koonz, Clerk of the Indian Agency at Keshena, WI.",,one conch shell columnella and nine shell fragments.,"Affiliated to Menominee, repatriated in 2000"
Menominee Indian Tribe of Wisconsin,Menominee,"U.S. Dept. of Interior, BIA",Wisconsin,Menominee,Five Islands Mound Group (47-ME-11),N/A,3,198,"In 1919, human remains representing a minimum of three individuals were recovered from the Five Islands Mound Group (47-ME-11) within the exterior boundaries of the Menominee reservation during non-legally authorized excavations conducted by Samuel A. Barrett,  MPM Curator of Anthropology, Milwaukee, WI, and Alanson B. Skinner, Museum of the American Indian, Heye Foundation, New York, NY.",,"grit-tempered, cordmarked sherds and a chert point fragment","Affiliated to Menominee, repatriated in 2000"
Menominee Indian Tribe of Wisconsin,Menominee,"U.S. Dept. of Interior, BIA",Wisconsin,Menominee,Near Five Islands (47-ME-12),N/A,7,0,"In 1921, human remains representing a minimum of seven individuals were recovered from an unnamed site near Five Islands (47-ME-12) within the exterior boundaries of the Menominee reservation during non-legally authorized excavations conducted by Alanson B. Skinner, Museum of the American Indian, Heye Foundation, New York, NY.",,,"Affiliated to Menominee, repatriated in 2000"
Menominee Indian Tribe of Wisconsin,Menominee,"U.S Dept. Interior, BIA",Wisconsin,Menominee,Kakwatch Mound Group (47-ME-6),N/A,7,3,"In 1921, human remains representing a minimum of seven individuals from the Kakwatch Mound Group (47-ME-6) within the exterior boundaries of the Menominee reservation during unauthorized excavations conducted by Samuel A. Barrett, MPM Curator of Anthropology, Milwaukee, WI, and Alanson B. Skinner, Museum of the American Indian, Heye Foundation, New York, NY.",,"a bear jaw a sherds from a grit-tempered, cordmarked ceramic pot","Affiliated to Menominee, repatriated in 2000"
Menominee Indian Tribe of Wisconsin,Menominee,"U.S Dept. of Interior, BIA",Wisconsin,Menominee,Paiawisit Mound Group (47-ME-58),N/A,1,16,"In 1921, human remains representing one individual were recovered from the Paiawisit Mound Group (47-ME-58) within the exterior boundaries of the Menominee reservation during non-legally authorized excavations conducted by Alanson B. Skinner, MPM Curator of Anthropology, Milwaukee, WI.",,"grit-tempered, cordmarked sherds","Affiliated to Menominee, repatriated in 2000"
Menominee Indian Tribe of Wisconsin,Menominee,"U.S. Dept of Interior, BIA",Wisconsin,Menominee,Nakuti's Berry Patch Mound Group (47-ME-5),N/A,5,0,"In 1921, human remains representing a minimum of five individuals were recovered from the Nakuti's Berry Patch Mound Group (47-ME-5) within the exterior boundaries of the Menominee reservation during non-legally authorized excavations conducted by Alanson B. Skinner, MPM Curator of Anthropology, Milwaukee, WI",,,"Affiliated to Menominee, repatriated in 2000"
Menominee Indian Tribe of Wisconsin,Menominee,"U.S. Dept.of Interior, BIA",Wisconsin,Menominee,Menominee Indian Reservation in Keshena,N/A,1,20,"In 1926, Oshkosh Public Museum staff Arthur Kannenberg excavated the graves of two individuals located on the Menominee Indian Reservation in Keshena, WI. The remains of one individual, believed to have been those of Chief Oshkosh, were re-interred at a new location in Oshkosh, WI shortly thereafter. The remains of the second individual, believed to have been those of one of Chief Oshkosh's wives, were not re-located. Two cervical vertebrae were removed from one of the two graves and donated to the Oshkosh Public Museum by an unknown person, presumably Mr. Kannenberg, at an unknown time after 1926. An unknown person, presumably Mr. Kannenberg, retained remnants of Chief Oshkosh's original casket, including pieces of glass, metal, cloth, wood, beads, three nails, and scraps of beaded cloth. These nine funerary objects were donated to the Oshkosh Public Museum, presumably by Mr. Kannenberg, at an unknown time between 1926-1945. At an unknown time, but presumably during the 1926 exhumation, 11 funerary objects consisting of a wooden spool, 8 buttons, shears, and 1 nail were collected from the grave of a wife of Chief Oshkosh. They were donated to the Oshkosh Public Museum by an unknown person, but presumed to be Mr. Kannenberg, at an unknown time between 1926-1945.",,"pieces of glass, metal, cloth, wood, beads, three nails, and scraps of beaded cloth",published inn FR 10/25/2000 culturally affiliated with Menominee Indian Tribe of Wisconsin. Repatriated in 2001
Menominee Indian Tribe of Wisconsin,Menominee,"U.S. Dept. of Interior, BIA",Wisconsin,Shawano,Mound on Menominee Reservation,Catalog #: 1950-6268 Accession #: 1950-6268,1,3,"In 1928, human remains representing a minimum of one individual were removed from a mound located within the boundaries of the Menominee Indian Tribe Reservation, Menominee County (formerly Shawano County), WI, by Arthur P. Kannenberg and John V. Satterlee. The exact location is not known. In 1950, the museum obtained the human remains, associated funerary objects, and unassociated funerary objects from the wife of Arthur P. Kannenberg",Menominee,earrings,published in the Federal Register 07/20/2010 culturally affiliated with the Pawnee Nation of Oklahoma. Repatriated February 2016 to the Menominee Indian Tribe of Wisconsin
Menominee Indian Tribe of Wisconsin,Menominee,Univ. of Pennsylvania Museum of Archaeology and Anthropology,Wisconsin,Milwaukee,unknown mound site,"Cat #: L-606-0035, 0044, 0078, 563, 1220",5,0,"At an unknown date between 1836 and 1839, human remains representing, at minimum, five individuals (UPM #: 97-606-35; 97-606-44; 97-606-78; 97-606-563; 97-606-1220) were removed by ""workers digging for buildings, roads or gardens"" from an unknown mound site in Milwaukee County, WI. The human remains were discovered in the vicinity of Milwaukee and acquired by Increase A. Lapham, who at the time was conducting a survey of mounds in Wisconsin. Prior to 1839, Mr. Lapham sent the human remains to Dr. Samuel G. Morton for inclusion in his collection of human crania from around the world.",Historic period,none,originally inventoried as CUI subsequently culturally affiliated with the Menominee
